City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Wellington,NZ,2022-07-20 21:46:26,haze,-41.2866,174.7756,47.86,93,100,16.11
60,Ouango,CF,2022-07-20 21:51:24,overcast clouds,4.3133,22.5552,70.02,97,100,1.59
61,Atuona,PF,2022-07-20 21:51:24,clear sky,-9.8,-139.0333,77.74,74,8,15.12
62,Thompson,CA,2022-07-20 21:47:59,broken clouds,55.7435,-97.8558,66.36,72,75,5.75
63,Pitimbu,BR,2022-07-20 21:51:25,overcast clouds,-7.4706,-34.8086,73.99,88,91,11.12
64,Arlit,NE,2022-07-20 21:51:25,broken clouds,18.7369,7.3853,92.37,29,61,5.99
65,Castro,BR,2022-07-20 21:51:25,clear sky,-24.7911,-50.0119,59.2,89,1,4.68
66,Vostok,RU,2022-07-20 21:51:26,few clouds,46.4856,135.8833,63.84,94,14,1.36
67,Itarema,BR,2022-07-20 21:51:26,broken clouds,-2.9248,-39.9167,78.08,75,68,13.8
68,Ushuaia,AR,2022-07-20 21:49:20,snow,-54.8,-68.3,31.66,86,100,21.85
69,Arrifes,PT,2022-07-20 21:51:26,broken clouds,37.7667,-25.7,68.25,88,75,4.61
70,Quelimane,MZ,2022-07-20 21:51:27,few clouds,-17.8786,36.8883,71.55,88,20,3.44
71,Lagos,NG,2022-07-20 21:51:27,overcast clouds,6.5833,3.75,73.96,78,90,5.84
72,Varzea Da Palma,BR,2022-07-20 21:51:27,clear sky,-17.5981,-44.7308,72.9,37,0,6.17
73,Vaini,TO,2022-07-20 21:51:28,scattered clouds,-21.2,-175.2,77.16,83,40,9.22
74,Broome,US,2022-07-20 21:51:28,scattered clouds,42.2506,-75.833,94.01,50,40,11.5
75,Saint George,US,2022-07-20 21:51:28,clear sky,37.1041,-113.5841,107.94,15,0,11.5
76,Micheweni,TZ,2022-07-20 21:51:29,light rain,-4.9667,39.8333,73.49,81,20,13.58
77,Tilichiki,RU,2022-07-20 21:51:29,clear sky,60.4667,166.1,59.38,44,6,7.38
78,Kavieng,PG,2022-07-20 21:51:29,light rain,-2.5744,150.7967,81.77,79,93,11.65
79,Pavlivka,UA,2022-07-20 21:51:29,few clouds,49.4414,28.4596,56.77,76,21,8.14
80,Cape Town,ZA,2022-07-20 21:49:07,clear sky,-33.9258,18.4232,51.12,79,0,2.3
81,Alto Araguaia,BR,2022-07-20 21:51:30,clear sky,-17.3147,-53.2153,73.36,28,7,5.79
82,Bathsheba,BB,2022-07-20 21:51:30,scattered clouds,13.2167,-59.5167,84.81,94,40,16.11
83,Coruripe,BR,2022-07-20 21:51:30,broken clouds,-10.1256,-36.1756,73.76,89,65,10.98
84,Hurghada,EG,2022-07-20 21:51:24,clear sky,27.2574,33.8129,91.44,22,0,6.91
85,Srednekolymsk,RU,2022-07-20 21:47:54,overcast clouds,67.45,153.6833,47.32,69,100,7.7
86,Hobart,AU,2022-07-20 21:46:44,clear sky,-42.8794,147.3294,35.26,94,0,3.44
87,Gorele,TR,2022-07-20 21:51:31,light rain,41.0308,39.0031,69.3,87,80,8.93
88,Faanui,PF,2022-07-20 21:51:31,clear sky,-16.4833,-151.75,77.99,65,0,9.55
89,Airai,TL,2022-07-20 21:51:32,overcast clouds,-8.9266,125.4092,57.11,93,91,3.74
90,Ambatolampy,MG,2022-07-20 21:51:32,overcast clouds,-19.3833,47.4167,49.19,87,100,9.04
91,Pevek,RU,2022-07-20 21:51:32,overcast clouds,69.7008,170.3133,31.62,88,99,15.46
92,Portland,US,2022-07-20 21:49:41,clear sky,45.5234,-122.6762,93.42,40,0,7.0
93,Yerofey Pavlovich,RU,2022-07-20 21:51:33,scattered clouds,53.9667,121.9667,64.02,93,30,2.95
94,Altay,CN,2022-07-20 21:52:33,overcast clouds,47.8667,88.1167,54.97,57,86,4.41
95,Kadambur,IN,2022-07-20 21:52:33,broken clouds,8.9833,77.8667,79.47,73,77,11.3
96,Hecun,CN,2022-07-20 21:52:34,clear sky,36.5333,114.1111,70.21,70,0,3.89
97,New Norfolk,AU,2022-07-20 21:52:34,clear sky,-42.7826,147.0587,34.92,89,4,2.39
98,Komsomolskiy,UZ,2022-07-20 21:47:50,clear sky,40.4272,71.7189,81.32,29,0,9.22
99,Avarua,CK,2022-07-20 21:52:34,broken clouds,-21.2078,-159.775,75.25,64,75,18.41
